Rank,Player,Assists,Goals,GP
1,Wayne Gretzky,1963,894,1487
2,Ron Francis,1249,549,1731
3,Mark Messier,1193,694,1756
4,Ray Bourque,1169,410,1612
5,Jaromir Jagr,1155,766,1733
6,Paul Coffey,1135,396,1409
7,Joe Thornton *,1095,423,1645
8,Adam Oates,1079,341,1337
9,Steve Yzerman,1063,692,1514
10,Gordie Howe,1049,801,1767
11,Marcel Dionne,1040,731,1348
12,Mario Lemieux,1033,690,915
13,Joe Sakic,1016,625,1378
14,Doug Gilmour,964,450,1474
15,Mark Recchi,956,677,1652
16,Al MacInnis,934,340,1416
17,Larry Murphy,929,288,1615
18,Stan Mikita,926,541,1396
19,Bryan Trottier,901,524,1279
20,Phil Housley,894,338,1495
21,Dale Hawerchuk,891,518,1188
22,Nicklas Lidstrom,878,264,1564
23,Phil Esposito,873,717,1282
24,Denis Savard,865,473,1196
25,Bobby Clark,852,358,1144